OBP Difference,AVG Difference,SLG Difference,OPS Difference,ERA Difference,WHIP Difference,K9 Difference,BB9 Difference,Home Recency Adv,Run Differential,Head to Head,Home Win
-0.039,-0.024,0.013,-0.027,10.8,7.019,-3.8,-4.3,-2,-95,0,0
0.05,0.061,0.104,0.154,3.3,2.317,3.5,-1.7,1,34,0,1
0.045,0.043,0.039,0.083,-3.66,-2.276,-3.1,3.7,1,13,0,1
-0.096,-0.087,-0.115,-0.211,5.82,2.277,7.1,-6.2,-2,-61,0,0
0.028,-0.002,0.119,0.148,1.49,1.199,1.4,-0.4,2,22,0,1
-0.031,-0.023,-0.036,-0.067,-4.98,-5.399,10,8.3,-1,-82,0,1
-0.006,-0.005,-0.083,-0.089,-0.4,0.546,-3.2,0.4,0,12,0,1
-0.04,-0.034,-0.072,-0.111,1.21,-0.342,0.9,-3.9,-1,-9,0,1
0.028,0.023,-0.014,0.012,-1.38,-0.808,-1,-0.3,-4,-48,0,0
0.023,0.034,0.058,0.081,-3.2,-0.945,3.2,1.7,2,15,0,1
0.009,0.021,0.006,0.015,-1.84,-0.856,3.8,1.6,-6,-156,-4,0
-0.035,-0.065,-0.114,-0.15,4.01,1.678,0.3,-1.1,-5,-70,-4,0
0.002,-0.009,-0.036,-0.034,1.51,0.835,-2.2,-1.5,0,34,0,0
0.037,0.024,0.138,0.175,2.37,1.265,-0.9,-2,3,84,4,0
-0.016,-0.01,0.039,0.022,-3.81,-1.87,-5.1,1.5,-2,-103,0,0
0.057,0.056,0.13,0.187,0.91,0.356,4,-3.5,0,40,-1,1
0.031,0.032,0.057,0.088,-2.87,-3.064,11.8,1.4,2,15,0,1
-0.011,-0.025,-0.05,-0.061,-3.95,-1.656,0.6,2.4,-2,-75,-1,1
-0.013,-0.022,0.046,0.032,-1.03,0.655,1.4,-1.2,3,24,1,1
-0.038,-0.004,-0.063,-0.1,-8.62,-3.869,-3.7,1.9,0,-80,1,1
-0.049,-0.033,-0.076,-0.125,5.3,3.343,-1.4,-1,1,16,1,0
-0.011,-0.024,-0.021,-0.032,-1.09,0.562,1.1,2.8,-1,1,0,1
-0.082,-0.081,-0.275,-0.357,0.1,-0.473,-0.7,0.6,-4,-84,0,1
0.044,0.058,0.112,0.157,-6.72,-2.217,-0.3,2.4,1,17,-1,1
-0.031,-0.036,-0.111,-0.144,-1.48,-1.253,-3.6,2.2,-7,-174,-5,1
-0.076,-0.034,-0.073,-0.15,-1.26,0.763,-1.7,-0.3,-5,-68,-4,0
-0.055,-0.08,-0.164,-0.22,-0.97,-1.684,1.8,2.3,0,24,-1,1
