Gameid,Home,Visitor,Date,Home Wins,Visitor Wins,Home Losses,Visitor Losses,Home Total Runs Difference,OBP Difference,AVG Difference,SLG Difference,OPS Difference,ISO Difference,Hits Difference,Strikeouts Difference,Walks Difference,ERA Difference,WHIP Difference,K9 Difference,BB9 Difference,Home Recency Adv,Run Differential,Head to Head,Home Win
20230417SEAMIL,SEA,MIL,20230417,8,11,8,5,-14.0,-0.01100000000000001,-0.019000000000000017,-0.020000000000000018,-0.031000000000000028,-0.0010000000000000009,15,6,-7,-3.55,-2.8009999999999997,-2.5,2.9999999999999996,0,-20.0,0,0
20230418CINTBA,CIN,TBA,20230418,7,14,9,3,-51.0,-0.013000000000000012,-0.02200000000000002,-0.061,-0.07500000000000007,-0.03899999999999998,-9,16,8,3.24,-0.5390000000000001,0.1999999999999993,0.9000000000000001,-3,-63.0,1,0
20230418COLPIT,COL,PIT,20230418,5,10,12,7,-7.0,0.05299999999999999,0.08900000000000002,0.09899999999999998,0.15200000000000002,0.009999999999999953,37,30,-2,-4.5,-2.774,-0.5,2.5,-3,-44.0,-1,0
20230418LANNYN,LAN,NYN,20230418,8,11,9,6,7.0,-0.04400000000000004,-0.025999999999999995,-0.007000000000000006,-0.050999999999999934,0.01899999999999999,-23,12,-21,-1.25,0.22899999999999965,1.2000000000000002,-1.9,-5,2.0,-1,1
20230418MIASFN,MIA,SFN,20230418,9,5,8,10,-5.0,0.0010000000000000009,0.024999999999999994,-0.016000000000000014,-0.013999999999999901,-0.04100000000000001,17,7,-8,-3.46,-1.2190000000000003,-1.7000000000000002,4.9,3,-18.0,1,1
20230418SDNATL,SDN,ATL,20230418,8,13,10,4,-1.0,-0.051000000000000045,-0.055999999999999994,-0.067,-0.118,-0.01100000000000001,-13,-4,5,-3.54,-2.9,-4.1,2.4000000000000004,-3,-30.0,1,0
20230418SLNARI,SLN,ARI,20230418,7,10,10,7,-20.0,0.057999999999999996,0.0010000000000000009,0.02699999999999997,0.08500000000000008,0.025999999999999968,6,12,29,-0.4500000000000002,1.06,-3.6999999999999993,-2.5,-2,-11.0,-1,0
20230418WASBAL,WAS,BAL,20230418,5,9,11,7,-24.0,-0.029000000000000026,-0.010000000000000009,-0.08800000000000002,-0.118,-0.07800000000000001,3,-29,-30,5.43,1.181,1.0,-1.7999999999999998,-2,-27.0,0,0
20230418BOSMIN,BOS,MIN,20230418,8,10,9,6,-1.0,0.04199999999999998,-0.0040000000000000036,-0.007000000000000006,0.03500000000000003,-0.0030000000000000027,1,-16,18,-10.72,-3.25,4.1,1.5,-1,-16.0,0,1
20230418CHAPHI,CHA,PHI,20230418,6,6,10,10,-30.0,-0.03999999999999998,-0.03199999999999997,0.01799999999999996,-0.02399999999999991,0.04999999999999993,-47,-33,-13,-3.29,-0.6630000000000003,1.5,-0.10000000000000009,-2,-7.0,0,1
